@relation aux
@attribute vendor {'adviser','amdahl','apollo','basf','bti','burroughs','c.r.d','cdc','cambex','dec','dg','formation','four-phase','gould','hp','harris','honeywell','ibm','ipl','magnuson','microdata','nas','ncr','nixdorf','perkin-elmer','prime','siemens','sperry','sratus','wang'}
@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class {'1','2'}
@data
'ibm',17,4000,16000,8,6,12,'2'
'ibm',17,4000,16000,32,6,12,'2'
'ibm',1500,768,1000,0,0,0,'1'
'ibm',1500,768,2000,0,0,0,'1'
'ibm',800,768,2000,0,0,0,'1'
'ipl',50,2000,4000,0,3,6,'1'
'ipl',50,2000,8000,8,3,6,'1'
'ipl',50,2000,8000,8,1,6,'1'
'ipl',50,2000,16000,24,1,6,'1'
'ipl',50,2000,16000,24,1,6,'1'
'ipl',50,8000,16000,48,1,10,'2'
'magnuson',100,1000,8000,0,2,6,'1'
'magnuson',100,1000,8000,24,2,6,'1'
'magnuson',100,1000,8000,24,3,6,'1'
'magnuson',50,2000,16000,12,3,16,'1'
'magnuson',50,2000,16000,24,6,16,'1'
'magnuson',50,2000,16000,24,6,16,'1'
'microdata',150,512,4000,0,8,128,'1'
'nas',115,2000,8000,16,1,3,'1'
'nas',115,2000,4000,2,1,5,'1'
'nas',92,2000,8000,32,1,6,'1'
'nas',92,2000,8000,32,1,6,'1'
'nas',92,2000,8000,4,1,6,'1'
'nas',75,4000,16000,16,1,6,'1'
'nas',60,4000,16000,32,1,6,'1'
'nas',60,2000,16000,64,5,8,'2'
'nas',60,4000,16000,64,5,8,'2'
'nas',50,4000,16000,64,5,10,'2'
'nas',72,4000,16000,64,8,16,'2'
'nas',72,2000,8000,16,6,8,'1'
'nas',40,8000,16000,32,8,16,'2'
'nas',40,8000,32000,64,8,24,'2'
'nas',35,8000,32000,64,8,24,'2'
'nas',38,16000,32000,128,16,32,'2'
'nas',48,4000,24000,32,8,24,'2'
'nas',38,8000,32000,64,8,24,'2'
'nas',30,16000,32000,256,16,24,'2'
'ncr',112,1000,1000,0,1,4,'1'
'ncr',84,1000,2000,0,1,6,'1'
'ncr',56,1000,4000,0,1,6,'1'
'ncr',56,2000,6000,0,1,8,'1'
'ncr',56,2000,8000,0,1,8,'1'
'ncr',56,4000,8000,0,1,8,'1'
'ncr',56,4000,12000,0,1,8,'1'
'ncr',56,4000,16000,0,1,8,'1'
'ncr',38,4000,8000,32,16,32,'1'
'ncr',38,4000,8000,32,16,32,'1'
'ncr',38,8000,16000,64,4,8,'2'
'ncr',38,8000,24000,160,4,8,'2'
'ncr',38,4000,16000,128,16,32,'2'
'nixdorf',200,1000,2000,0,1,2,'1'
'nixdorf',200,1000,4000,0,1,4,'1'
'nixdorf',200,2000,8000,64,1,5,'1'
'perkin-elmer',250,512,4000,0,1,7,'1'
'perkin-elmer',250,512,4000,0,4,7,'1'
'perkin-elmer',250,1000,16000,1,1,8,'1'
'prime',160,512,4000,2,1,5,'1'
'prime',160,512,2000,2,3,8,'1'
'prime',160,1000,4000,8,1,14,'1'
'prime',160,1000,8000,16,1,14,'1'
'prime',160,2000,8000,32,1,13,'1'
'siemens',240,512,1000,8,1,3,'1'
'siemens',240,512,2000,8,1,5,'1'
'siemens',105,2000,4000,8,3,8,'1'
'siemens',105,2000,6000,16,6,16,'1'
'siemens',105,2000,8000,16,4,14,'1'
'siemens',52,4000,16000,32,4,12,'1'
'siemens',70,4000,12000,8,6,8,'1'
'siemens',59,4000,12000,32,6,12,'1'
'siemens',59,8000,16000,64,12,24,'2'
'siemens',26,8000,24000,32,8,16,'2'
'siemens',26,8000,32000,64,12,16,'2'
'siemens',26,8000,32000,128,24,32,'2'
'sperry',116,2000,8000,32,5,28,'1'
'sperry',50,2000,32000,24,6,26,'2'
'sperry',50,2000,32000,48,26,52,'2'
'sperry',50,2000,32000,112,52,104,'2'
'sperry',50,4000,32000,112,52,104,'2'
'sperry',30,8000,64000,96,12,176,'2'
'sperry',30,8000,64000,128,12,176,'2'
'sperry',180,262,4000,0,1,3,'1'
'sperry',180,512,4000,0,1,3,'1'
'sperry',180,262,4000,0,1,3,'1'
'sperry',180,512,4000,0,1,3,'1'
'sperry',124,1000,8000,0,1,8,'1'
'sperry',98,1000,8000,32,2,8,'1'
'sratus',125,2000,8000,0,2,14,'1'
'wang',480,512,8000,32,0,0,'1'
'wang',480,1000,4000,0,0,0,'1'
