@relation aux
@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute class {'1','2'}
@data
-0.866686,-0.99724,0.316021,-0.088189,0.329314,0.364491,-1.224861,0.742259,1.189981,1.491911,'2'
-1.559841,-1.258613,-1.137298,1.121504,-0.343091,1.673865,-1.533176,-0.796748,0.663493,-1.215692,'2'
0.812641,0.279434,1.190776,0.811263,0.255435,-1.316441,-1.218206,0.533544,0.045764,-1.758744,'1'
1.389093,1.19565,0.846753,1.537808,-0.820954,1.094842,-0.261683,1.603041,-0.21398,-0.943326,'2'
0.763698,0.797728,0.017433,-0.69646,0.422566,-1.711358,-0.771744,-0.956463,0.191733,-1.51989,'1'
1.141746,1.231918,0.026144,1.232123,-1.435017,1.799856,-1.307636,-1.079345,1.033961,0.460111,'1'
-1.45207,-1.689498,0.44946,-1.251491,1.162209,0.620924,1.069699,-0.420254,0.520109,-0.375846,'1'
1.46317,1.122842,1.016836,0.047857,0.994729,0.510259,-0.539048,-1.131575,-1.385519,0.26793,'2'
1.11536,0.622845,0.977353,0.902893,0.617649,-1.305516,-1.490103,-1.275745,0.471549,0.650801,'1'
1.371184,0.641816,1.542815,1.094367,1.042487,0.824957,1.092503,-0.772916,-0.52167,-0.469982,'1'
-0.588531,0.110331,-1.072978,1.242097,-0.714828,-0.633219,-1.027232,0.803843,0.837895,1.370507,'2'
-0.41547,-0.95116,1.161517,0.281202,-0.172798,-1.193547,0.225347,-1.195249,1.150739,-1.653439,'2'
0.032336,-0.816875,1.309831,-1.302511,0.257831,-0.774732,0.567623,-0.888469,1.340422,1.484169,'2'
0.800341,0.361041,0.865389,1.328128,-0.21335,1.278852,1.197703,-1.603845,0.789581,-0.387052,'1'
-0.568995,-0.767857,0.690738,1.184643,-0.094248,1.74487,1.382919,-0.493323,0.163241,0.04564,'2'
0.180383,-0.080352,0.077731,0.118824,1.487851,-0.16668,1.252525,-0.281783,0.284345,1.251728,'2'
-0.457332,-0.987301,1.068438,0.783135,-0.214622,1.742666,0.447805,0.982268,0.121607,0.042459,'2'
-1.491997,-1.162375,-1.144883,-0.574259,0.314922,1.517028,0.601542,-0.640215,0.128487,-0.851046,'2'
-0.89747,-0.188255,-1.581939,1.666575,1.259394,1.572589,0.510715,0.554088,0.403594,-0.471551,'2'
0.645978,1.147617,-1.186088,-0.644519,-1.383827,-1.011884,1.087519,-1.577919,-0.471883,1.613728,'1'
-0.519555,-0.10138,-1.128729,0.287277,1.54862,0.783341,-0.272247,-0.153945,-0.063509,-1.215467,'2'
-0.96864,-0.112993,-1.538471,-1.296968,-0.96803,0.869508,-0.69826,1.503709,1.752657,-1.498816,'2'
-0.399084,-0.272715,-0.59166,1.195944,0.666424,0.130519,-1.386338,1.462782,1.06383,-0.42386,'2'
-0.896242,-0.626078,-0.819698,0.14143,-1.738816,-0.738792,-0.023878,-1.159528,0.355319,1.15789,'2'
0.117375,-0.72634,1.325383,1.143737,1.516774,-0.299873,0.982607,-1.436399,1.749109,1.547725,'2'
1.054536,0.567017,0.989061,-1.07705,-0.747712,0.53413,-1.570334,0.516126,0.062596,1.103549,'1'
-0.522397,-0.114474,-0.631266,-0.08264,-0.59528,0.215866,-1.050576,0.05372,-1.317229,0.242295,'2'
-1.680455,-1.000992,-1.409244,-0.488025,0.936147,1.162207,1.62718,1.317729,-1.516136,-1.102659,'2'
1.641637,1.092395,0.996368,-1.199134,0.912762,-0.408235,1.681136,-0.984219,0.654387,0.731305,'2'
-0.077747,-0.506259,0.687751,1.332475,0.838885,-0.793325,-0.426052,-0.482871,-0.866828,-0.514879,'2'
0.095627,0.06072,-0.009505,-1.67764,-0.964913,-1.5724,1.655998,-0.146437,-0.518077,-0.725159,'1'
-1.279526,-1.119714,-0.611078,-1.064741,1.041332,-1.183298,-0.344698,0.804188,1.068013,-0.783489,'1'
1.16977,1.426938,-0.190015,0.496917,-0.479582,-1.166337,-1.073149,-1.276966,0.32105,-0.371492,'2'
-1.566551,-1.366329,-0.534265,-1.577702,1.387451,0.090649,1.561236,-0.495731,-1.633758,1.162835,'1'
1.093902,1.197463,0.776506,1.131409,-1.602346,-0.883539,0.343752,0.037126,1.098097,1.062817,'1'
-0.401566,-0.811054,0.450492,-0.590344,-0.150768,-0.378234,-0.731446,1.551443,0.907898,-0.485826,'2'
0.497107,0.35155,1.100688,0.146821,1.607584,0.012055,-1.356176,0.742811,-1.311158,-0.133972,'1'
-0.68219,-1.559297,1.40909,-0.896628,1.702208,-1.027849,1.15786,0.481938,0.85809,-1.485639,'2'
-1.471315,-1.782571,0.32313,0.844944,-1.074796,0.054844,0.360706,1.045918,1.510398,0.437474,'1'
1.332371,1.156794,0.38655,-0.53085,0.048806,-0.979754,1.239707,-1.474635,-0.346441,1.024811,'1'
-0.366748,-1.170558,1.311982,0.75356,-0.784757,1.068184,-1.676529,-1.05901,0.238836,-0.240438,'2'
1.589422,1.614984,0.219316,0.917815,-0.871429,-0.522725,0.056549,-1.58366,-0.501295,0.781232,'2'
0.485835,-0.208016,1.171928,-1.143163,1.620262,0.643741,1.270089,0.414671,0.177359,-0.360495,'2'
1.328258,0.588709,1.291973,-0.230048,-0.598893,0.013433,0.880529,-1.001436,1.408365,0.189272,'1'
-0.041655,0.160979,-0.580363,-0.388748,0.636398,0.240668,0.603631,0.232777,-1.6684,1.705469,'1'
0.223384,0.663652,-0.126369,-0.139318,0.238146,-1.214231,1.123401,1.249751,-0.58778,-0.457306,'1'
-1.238804,-1.034207,-0.496683,-0.627262,1.491981,-1.694718,1.264868,1.264846,-1.268708,-1.632015,'2'
-0.715747,-1.125629,0.192554,1.081257,0.365924,-0.294242,0.283829,1.281454,-1.372868,-1.051352,'2'
0.06944,-0.168347,0.482573,-0.539353,1.299424,-0.68746,0.233846,1.295221,0.649368,-0.054647,'2'
0.421381,1.030279,-0.565288,1.514223,-1.221705,-0.307274,0.745484,-1.406101,-1.364572,0.753269,'1'
1.352402,1.462125,-0.084854,1.537538,-1.060553,-0.343588,-1.096046,-0.063422,-1.588142,1.413122,'2'
-1.514603,-0.677296,-1.587133,1.051752,-0.444413,0.353468,-1.420344,-1.721855,1.776212,-1.759572,'2'
-0.392195,-0.873319,1.184667,0.21399,-1.246432,1.779751,1.409731,-0.511546,-1.039385,-0.720946,'2'
-0.211126,0.176523,-0.376479,1.418384,1.505156,0.727937,0.106201,-0.470797,-0.267563,-1.10223,'2'
-0.12115,-0.327417,0.713748,0.236994,1.2727,-1.488154,-1.074038,-0.208487,0.567836,-1.247165,'2'
-2.146774,-1.778949,-1.504333,-1.534374,-0.216073,0.82737,0.917,1.182011,-0.622151,1.626831,'1'
-0.305543,-1.004541,1.225479,1.205,-1.261323,-1.243111,-0.251152,-0.800358,0.578926,0.404438,'2'
1.29522,0.489973,1.380669,-1.089605,0.000833,-1.261712,-1.593468,-0.307757,-1.537134,0.68256,'1'
-0.609544,0.056386,-1.595766,-0.183733,-0.195806,0.416531,0.822145,1.445138,0.726818,0.096543,'2'
-1.000613,-0.253172,-1.097977,-1.588967,-0.099173,-0.525259,0.955971,-0.150895,-0.10336,1.477009,'2'
-1.785829,-1.431597,-1.442957,-0.57399,0.344163,-0.577721,-1.658833,-1.281548,1.512703,1.443816,'1'
1.1033,1.219423,0.169139,0.249888,-1.250064,-1.275437,-1.260948,-0.155691,-0.211628,-1.086141,'1'
-0.366298,-0.974671,1.194329,0.060376,1.36472,-1.456963,0.954518,-0.304452,-0.369967,-1.228191,'2'
-0.104903,0.123322,-0.822225,-0.905742,0.184532,1.713028,-1.491179,-0.874539,0.132871,0.130878,'1'
-1.9933,-1.370713,-1.318056,-0.693922,-0.519568,1.554882,-1.473882,-0.693606,-0.203081,-0.098658,'1'
0.048941,-0.436953,0.998844,1.286324,1.332094,0.809785,-0.884588,1.151496,0.843741,0.502507,'2'
0.705833,1.515017,-1.207546,-0.636203,0.467639,0.471394,-0.760715,-0.863208,-0.888049,-0.771451,'1'
0.653466,1.29646,-1.216057,-0.684679,0.270999,-0.713717,1.293783,0.234595,-0.794004,0.526769,'1'
-0.229065,-1.128335,1.27274,0.698584,0.929037,0.637182,-0.150172,-0.662421,-0.39677,0.187518,'2'
-0.646358,0.016122,-0.969669,-1.485005,-1.565557,-0.375905,-0.51294,-0.539192,-0.268979,1.625315,'2'
-1.917314,-1.797309,-0.578703,1.500441,-1.373211,-0.76116,0.115308,0.062522,0.934766,1.365863,'2'
0.686523,0.237631,1.014096,1.078516,1.626824,1.20416,-1.296395,0.1004,-0.415603,1.234249,'1'
-0.515417,-1.293204,1.702166,-1.652083,-1.787055,-1.214767,-0.337395,1.517193,-1.266541,-0.857138,'1'
1.284073,1.009809,0.514241,-0.781076,-0.973721,-0.958328,-1.036406,1.063281,-1.088018,-1.038562,'1'
1.161764,0.877525,1.515337,0.128415,-1.163119,0.319272,-1.668071,0.161609,-0.652181,-1.620367,'1'
-0.250816,-0.80332,1.407243,0.955336,-1.33005,-1.066709,0.01634,1.39095,-0.905727,-0.746434,'2'
1.317412,0.716514,1.738133,1.376107,-1.398215,-0.086508,-0.83291,-0.47305,-0.277501,0.348721,'1'
0.535841,1.040899,-1.019602,0.415765,0.510201,-0.109235,0.577107,-0.43436,0.644407,-1.624621,'1'
-1.431855,-1.027286,-1.480955,0.752914,1.6552,-1.654852,-0.566597,-1.306482,-0.949314,-0.380748,'2'
-0.167832,0.427895,-0.467506,0.695546,0.491961,-0.451852,0.193589,-0.055715,-0.539827,-1.170086,'2'
1.751524,1.497198,0.905797,-0.506714,0.526193,-0.383114,0.992518,1.174852,-1.694349,0.901833,'2'
-0.421486,-0.328123,-0.373467,-0.883403,-1.122929,-0.484342,-0.861987,-1.471764,0.833117,-0.575378,'2'
1.495662,1.616231,-0.247755,0.305123,0.464673,0.736502,-1.59879,0.187657,0.164171,-1.700068,'2'
-0.098108,0.217303,-1.234983,0.826123,-0.079132,-0.1947,0.461556,-1.238478,-0.459439,-0.734937,'2'
-1.202711,-1.126645,0.022222,0.466047,-0.501639,-1.693925,-0.322892,-1.300332,-1.311285,-0.133322,'1'
1.381688,1.365419,-0.027221,1.219774,1.194543,-0.654769,0.245726,-0.974666,-0.134907,0.285367,'2'
0.752474,0.112376,1.69492,1.477903,0.715738,-0.652967,-0.101069,1.085972,-1.423531,-1.166232,'2'
-0.043754,-0.299343,0.254659,1.128331,-0.997885,1.031303,-0.045015,0.008035,0.885597,0.867758,'2'
1.402257,1.389006,0.401488,0.88466,0.347767,-1.437438,-1.464934,1.120497,0.111105,-0.482826,'2'
1.623432,1.42142,0.926827,-0.236305,0.508517,-0.734459,-1.592212,1.482861,-0.783776,0.021485,'2'
-0.425199,-0.56764,0.479059,-0.576039,0.643402,-0.735178,-0.929972,0.420529,-0.005948,0.012239,'2'
-1.248111,-0.736494,-1.297662,1.393018,0.544277,1.425075,0.643027,-1.352654,0.138918,1.224026,'2'
-1.707004,-1.210433,-1.67021,-0.02153,-1.632447,-0.440067,-0.817867,-1.120839,-1.062268,-1.38422,'1'
0.970659,1.484999,-0.632451,-1.641511,-1.288228,-0.448802,0.809356,-0.049659,0.317291,0.658616,'1'
-1.558124,-1.22392,-0.991031,-0.238182,1.255129,-0.909517,-1.346417,0.08201,-1.283792,-0.840463,'2'
0.932058,1.482409,-0.079377,1.371954,0.059825,1.131345,-0.094152,1.153068,-1.33566,-0.091319,'1'
1.4329,0.8831,1.334817,1.640667,-1.138919,0.795724,-1.502104,0.994126,1.357685,0.035092,'1'
0.882322,1.529555,-1.674689,-1.666416,1.571612,1.534338,0.498088,1.01731,1.240619,0.342542,'1'
1.066087,0.810592,0.932297,-1.082378,-0.089129,0.219066,-0.95206,0.281657,0.946909,-0.948503,'1'
-1.394782,-0.965038,-1.349449,0.417549,-1.024194,0.138088,-1.324052,1.325572,-0.778725,-0.056046,'2'
0.86568,1.66095,-1.050218,1.611615,0.155764,0.247462,0.914705,0.575367,0.647861,-1.50951,'2'
0.564572,0.985793,0.090503,-0.414251,1.577223,1.191368,-1.646269,0.622438,0.626286,0.872419,'1'
-0.879988,-1.67955,1.569964,-0.255695,1.069458,-0.865883,1.531792,-1.450743,-1.07119,0.491999,'2'
0.148575,0.073447,0.328273,1.579367,-0.756743,-1.17539,1.590776,0.009643,0.643273,-0.137717,'2'
0.180353,-0.253711,0.652732,1.477764,-0.468786,-1.518266,-0.426054,1.193709,-0.353458,-1.579057,'2'
0.263922,0.813889,-1.219694,-0.110068,0.344241,-0.229336,-0.663691,0.406721,-0.753143,-0.610504,'1'
1.58896,1.369442,0.209357,0.809224,0.703284,1.020527,-1.470613,-1.308654,1.707073,-0.930577,'2'
0.256891,0.118063,0.135744,0.315394,0.575528,-0.500326,0.27553,1.582497,-1.297667,1.572986,'1'
-0.812417,-0.200932,-1.385043,-0.670825,-1.554504,-1.168105,1.546142,0.237491,-1.285752,-0.058333,'2'
1.348648,0.949253,1.277434,-0.953444,0.760964,0.001614,0.677912,-1.6507,-1.08545,0.431345,'1'
1.522743,0.808113,1.697449,-0.686592,1.674124,-0.588378,-0.664393,-0.005771,-0.353762,0.578106,'1'
0.730949,0.947208,-0.173896,0.912795,0.928803,0.092466,1.603039,1.389016,-0.671122,-1.741925,'1'
0.261851,-0.389656,1.197246,1.639966,1.104192,1.663112,-0.594272,0.280804,-0.934624,-0.715778,'2'
-0.899659,-1.324614,0.720089,1.600319,1.611737,-0.537747,1.262644,-0.577354,0.526774,0.878648,'2'
-0.761092,0.20056,-1.640378,1.569581,0.088337,0.003243,-0.605637,0.916967,0.128978,0.871596,'2'
-1.284571,-1.564556,0.215792,-1.020405,-0.391541,-1.110813,1.052784,0.078582,0.868082,-1.624451,'1'
0.246375,0.692884,-0.625164,-0.407642,0.420674,0.828413,-0.728362,1.119202,-0.924908,-0.160985,'1'
-1.413574,-1.544069,-0.170258,-1.044224,1.58535,0.225729,-0.088303,0.63368,1.542938,0.053815,'1'
0.0417,-0.424968,0.962337,-1.723007,-0.066584,-0.954007,-1.134369,-0.963352,1.399122,-0.289246,'2'
0.988387,0.874609,0.129835,-1.330745,0.669097,0.486526,-0.038305,1.440734,1.141027,1.120134,'1'
1.11949,0.737515,0.761673,-1.121782,1.381125,1.47103,-1.300942,0.800216,0.683066,-0.867993,'1'
0.875758,0.994653,-0.605566,0.17935,-1.251024,-0.672412,1.423695,-0.094721,-1.331191,-1.044251,'1'
-1.177588,-0.595636,-0.995437,-0.606301,-0.791551,0.302415,0.632233,0.717989,-1.121432,1.596293,'2'
-0.619851,-1.195406,0.776046,-1.331662,0.299323,-1.358586,1.051009,0.634363,1.550214,-0.897713,'2'
0.265583,0.110903,0.201095,-0.118041,-0.095249,0.761605,0.780569,-1.093009,0.5373,1.438084,'1'
0.469931,0.947286,-1.216676,0.031265,0.923988,0.470007,0.589468,-0.22154,-1.54095,-0.356023,'1'
0.641228,-0.004548,0.969852,-0.030094,-0.828322,0.81359,-1.229157,0.44876,-1.387168,1.623091,'1'
-0.789029,-1.587594,1.230953,0.397025,0.651458,-1.047998,0.810407,0.615559,-1.353723,0.917354,'2'
-1.360866,-1.649024,0.214712,0.405413,-1.497829,0.340787,-0.568752,-1.657475,-0.045691,1.537875,'1'
-0.885479,-1.597653,0.857045,0.360737,1.292844,0.497039,0.908144,0.23821,1.556689,0.460555,'2'
-0.099788,0.566484,-1.268192,-1.688495,-1.628838,1.574097,-0.67377,-0.594668,-1.135453,-1.415528,'1'
-0.92245,-1.194096,0.01526,-0.833686,-0.060025,1.220352,1.086961,0.485068,-0.426754,-0.532739,'1'
1.636814,0.925775,1.693246,1.291717,-0.233198,0.026724,0.557529,-1.136435,-0.548953,1.289908,'2'
1.77215,1.422208,1.016406,-1.387183,-1.167861,0.082871,-0.398836,-1.60319,0.039608,0.755506,'2'
0.362146,1.077367,-0.631634,0.800804,0.662541,-0.270301,-1.175561,1.052769,-1.541728,0.297011,'1'
0.867632,0.099024,1.642188,0.320645,0.91446,0.446629,0.722647,-0.809606,-0.2545,1.619663,'1'
0.049797,0.817413,-1.543125,-0.626825,-0.183109,-1.128517,-1.179693,-1.169968,-0.112732,-1.226294,'1'
1.112096,0.293931,1.655382,-1.035243,1.197526,-0.413871,-1.12508,0.138938,1.752851,-0.457087,'1'
0.279692,0.319409,-0.138292,0.130387,1.014425,1.731878,-0.025464,0.995998,1.539275,0.807781,'1'
1.272496,0.942392,1.028647,-1.024318,0.974285,0.304702,-0.143061,-1.293156,1.437213,-0.889472,'1'
0.862243,0.76012,0.749869,-1.265576,-0.381711,1.496211,0.59106,1.397807,-0.754101,1.4216,'1'
0.337582,-0.133638,1.692043,1.262226,-1.1259,-0.676962,-0.885346,-1.562764,-1.61314,-1.67689,'2'
-0.466365,-0.372806,-0.533867,1.507553,0.040611,1.719935,0.037577,-0.00773,-0.705778,-1.607131,'2'
-0.465275,-0.349544,-0.210678,-1.588464,0.33881,-1.501065,-0.237944,-1.701763,-0.04773,-1.274988,'2'
0.991594,1.599809,-1.091734,0.376085,0.600802,0.505135,-0.12378,-0.740462,-0.608839,-0.881975,'2'
1.42961,1.397808,1.196647,-1.380183,0.925433,-0.838143,-0.017295,1.05368,-0.13906,0.362129,'2'
-1.30352,-1.671948,1.347639,0.384173,1.414967,1.093119,1.014148,-1.688933,-1.028365,-0.291555,'2'
0.29618,-0.129914,1.053421,0.558302,1.518374,-1.465942,1.137739,1.594531,0.670675,1.15043,'2'
-0.093565,-0.128618,0.340921,0.289762,-0.994257,0.556934,0.532051,0.348234,-0.410618,1.538243,'2'
-0.832807,-0.521327,0.009044,0.743904,-0.670076,-0.843484,-0.893201,0.403647,0.522473,1.381862,'2'
-0.164389,-0.695306,0.811172,-0.846796,0.881526,0.601104,1.630902,1.576267,-0.934944,-0.093227,'2'
-1.277394,-1.15303,-0.801375,1.332499,-0.712368,-1.338999,1.453458,1.214634,-1.017925,1.105164,'2'
0.155009,-0.078633,0.870906,0.893274,1.428938,0.939264,-1.163995,-0.310032,-0.781705,1.452296,'2'
2.56255,1.677442,1.655125,-0.457584,0.246376,1.370696,-1.537099,-0.244543,0.642215,-0.765016,'1'
0.058828,-0.608263,1.044171,-1.159835,0.266467,0.75414,-0.800352,-0.018968,-0.139656,-1.494519,'2'
-0.525433,-0.901312,0.574848,-0.914264,0.211164,-0.893493,0.02917,0.584159,1.515939,0.028262,'2'
1.343752,0.752211,0.991478,1.615938,0.068524,0.419438,1.675012,0.969286,0.804235,-0.486335,'1'
-1.248809,-1.798337,1.040934,-1.616041,0.817309,0.976918,0.650025,-0.548322,-1.231812,1.301714,'1'
1.110862,0.508797,1.744512,-0.698933,1.582415,1.632887,1.080409,-1.444726,1.76707,-1.755792,'1'
-0.385259,-0.278065,-0.236264,0.86966,-0.313618,0.810662,0.840969,-0.753968,1.565407,1.259202,'2'
-0.257915,-0.828092,1.544488,1.178195,0.710289,-0.490116,-1.095748,-0.0441,-1.376055,1.109637,'2'
-0.159893,0.547362,-1.535008,-1.414719,0.725801,-1.683204,-1.279149,-1.674422,1.72088,1.498938,'1'
0.270402,-0.048631,1.739254,1.454176,-0.632526,0.68317,-1.411407,1.299352,0.181077,-0.426326,'2'
-1.31285,-0.822435,-1.048898,-0.888078,-1.553787,1.271821,-0.286376,1.184782,0.304502,-0.063001,'1'
0.652802,0.068243,1.179552,-0.579426,-1.002398,0.164034,0.748755,-0.058127,1.060532,-1.280347,'1'
-1.34766,-1.235204,-1.048744,1.434998,-1.333772,1.131162,1.551502,-0.355348,-1.241353,0.730208,'2'
1.572799,1.158724,1.08654,-1.600679,-1.539176,0.394403,-1.430223,0.806765,0.388938,1.190272,'1'
-0.261276,-0.950733,1.145411,1.468504,-0.621139,0.581817,-0.262961,-0.827267,-0.350636,0.100654,'2'
-0.598809,-0.746313,0.395719,-1.404411,1.165092,-0.417305,0.4817,0.143889,1.71784,-0.363309,'2'
0.29671,0.193002,-0.249681,-0.910112,-0.941668,1.729387,0.509215,1.049269,1.262234,-0.628783,'1'
0.356652,0.431972,0.021846,-0.286863,0.439567,1.092314,1.372795,-1.605734,-0.346784,1.218374,'1'
-0.660208,-0.367658,-0.928314,-1.26715,0.403963,-1.413592,1.636761,0.259213,-1.280218,-0.405791,'2'
0.949607,1.3913,-0.90049,-0.863196,-1.167156,-1.672128,0.92336,0.478508,0.706125,-0.70379,'1'
0.848324,1.043924,-0.514441,-0.038739,0.993948,-0.717853,-1.075266,-1.727318,-0.08201,-0.720895,'1'
-0.034726,-0.553024,1.018112,-1.484572,1.677152,1.317045,-0.065585,-1.501718,1.747384,0.400645,'2'
-0.699485,-1.773768,1.621989,0.133377,1.376543,0.552754,0.891128,1.419934,-0.761901,-0.864323,'2'
-0.649913,-0.458702,-0.676198,0.234183,0.02964,-0.972803,0.764615,0.396702,-1.601898,-0.430212,'2'
1.141221,0.951576,1.15865,-0.383932,-0.184505,0.179287,1.11512,1.439701,1.219627,-0.678999,'1'
-0.619097,-0.209174,-0.46436,-0.296487,1.517371,0.770172,0.359148,0.413879,-0.774687,0.433246,'2'
-1.329709,-1.474616,-0.310171,-0.818939,1.077958,0.929318,-1.238163,-1.655161,-1.515491,-1.086617,'1'
0.706041,1.650442,-1.106491,0.212997,0.097807,1.18439,0.100956,-0.517143,1.35846,1.12975,'1'
-0.388455,-1.399829,1.138989,-1.748524,-0.413679,-0.973107,0.013404,-1.075198,-0.808903,-0.073999,'1'
-0.909395,-1.296334,0.341479,-1.46506,-0.228027,0.043239,0.92343,-1.548451,-0.307037,-1.468102,'1'
1.022787,0.901619,0.597985,-0.271072,1.125249,-0.886875,0.063472,-1.275013,-1.129617,1.534266,'1'
0.78988,0.964853,-0.073817,-0.63127,-0.734567,1.394376,0.126943,-0.65232,1.383463,0.407548,'1'
0.84589,0.948518,-0.065131,-1.118118,-0.443634,0.016669,-1.185513,0.810233,1.054743,-0.258478,'1'
0.085568,0.229428,-0.336547,-0.982793,-0.228086,-0.525116,-0.726513,0.460519,-1.14144,-0.730631,'1'
0.724891,0.49265,0.214503,-1.266822,-1.608602,-0.79906,0.667618,-0.987989,-0.252443,-0.820521,'1'
0.662832,1.194264,-0.836118,-0.802636,-1.177527,-1.232242,0.722989,0.167925,-0.533528,1.607786,'1'
-0.169732,-0.306379,0.104308,1.108648,-1.759184,1.17854,0.816925,0.529719,-0.030974,1.616843,'2'
-0.121824,0.767642,-1.121389,-1.659302,0.391904,0.130626,-1.064616,0.493348,0.913849,-0.192044,'1'
-0.487954,-0.183048,-0.437336,-1.749826,-0.671335,0.078649,-0.954383,-0.560686,-0.261314,0.435896,'1'
0.156254,-0.547289,1.679516,0.755873,1.466225,-0.90673,-1.491019,0.803496,1.652385,-1.62874,'2'
1.709926,1.424053,0.614271,1.501214,-1.183044,-0.081955,-0.308588,1.416567,1.21476,1.312661,'2'
1.179322,1.069797,0.840212,-1.378155,-1.720503,-0.937524,-0.155676,0.269622,-1.523684,-0.696999,'1'
-0.372148,-1.062765,1.4425,-1.1481,-0.555493,1.775248,-0.893747,-0.780502,-0.422771,1.435022,'2'
-0.991932,-0.527794,-0.975098,-1.096103,-0.56832,0.190468,-1.018563,1.318066,0.574587,-0.376936,'2'
