@relation aux
@attribute group {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','25','26','27','28','29','30','31','32','33','34','35','36','37','38','39','40','41','42','43'}
@attribute conc numeric
@attribute age numeric
@attribute at.risk numeric
@attribute class {'1','2'}
@data
'24',307,77.5,60,'1'
'24',307,82.5,56,'1'
'25',350,22.5,659,'1'
'25',350,27.5,346,'1'
'25',350,32.5,273,'1'
'25',350,37.5,283,'1'
'25',350,42.5,385,'1'
'25',350,47.5,390,'1'
'25',350,52.5,292,'1'
'25',350,57.5,262,'1'
'25',350,62.5,243,'1'
'25',350,67.5,236,'1'
'25',350,72.5,102,'1'
'25',350,77.5,68,'1'
'25',350,82.5,47,'1'
'26',398,22.5,538,'1'
'26',398,27.5,272,'1'
'26',398,32.5,211,'1'
'26',398,37.5,232,'1'
'26',398,42.5,274,'1'
'26',398,47.5,321,'1'
'26',398,52.5,292,'1'
'26',398,57.5,175,'1'
'26',398,62.5,153,'1'
'26',398,67.5,122,'2'
'26',398,72.5,96,'1'
'26',398,77.5,23,'1'
'26',398,82.5,14,'1'
'27',406,22.5,770,'1'
'27',406,27.5,315,'1'
'27',406,32.5,239,'1'
'27',406,37.5,355,'1'
'27',406,42.5,412,'1'
'27',406,47.5,420,'1'
'27',406,52.5,367,'2'
'27',406,57.5,331,'1'
'27',406,62.5,284,'1'
'27',406,67.5,209,'2'
'27',406,72.5,114,'1'
'27',406,77.5,47,'1'
'27',406,82.5,23,'2'
'28',448,22.5,1043,'1'
'28',448,27.5,457,'1'
'28',448,32.5,241,'1'
'28',448,37.5,331,'1'
'28',448,42.5,404,'1'
'28',448,47.5,423,'1'
'28',448,52.5,387,'1'
'28',448,57.5,312,'2'
'28',448,62.5,252,'1'
'28',448,67.5,202,'1'
'28',448,72.5,130,'2'
'28',448,77.5,49,'1'
'28',448,82.5,28,'1'
'29',467,22.5,1114,'1'
'29',467,27.5,720,'1'
'29',467,32.5,632,'1'
'29',467,37.5,566,'1'
'29',467,42.5,523,'1'
'29',467,47.5,487,'1'
'29',467,52.5,447,'1'
'29',467,57.5,315,'1'
'29',467,62.5,212,'2'
'29',467,67.5,133,'2'
'29',467,72.5,72,'1'
'29',467,77.5,45,'2'
'29',467,82.5,32,'1'
'30',504,22.5,1029,'1'
'30',504,27.5,406,'1'
'30',504,32.5,384,'1'
'30',504,37.5,499,'1'
'30',504,42.5,654,'1'
'30',504,47.5,585,'1'
'30',504,52.5,460,'1'
'30',504,57.5,397,'1'
'30',504,62.5,330,'1'
'30',504,67.5,235,'1'
'30',504,72.5,171,'1'
'30',504,77.5,152,'1'
'30',504,82.5,95,'1'
'31',520,22.5,905,'1'
'31',520,27.5,364,'1'
'31',520,32.5,263,'1'
'31',520,37.5,342,'1'
'31',520,42.5,442,'1'
'31',520,47.5,497,'1'
'31',520,52.5,444,'1'
'31',520,57.5,344,'2'
'31',520,62.5,276,'1'
'31',520,67.5,193,'1'
'31',520,72.5,130,'2'
'31',520,77.5,68,'1'
'31',520,82.5,45,'1'
'32',520,22.5,841,'1'
'32',520,27.5,541,'1'
'32',520,32.5,401,'1'
'32',520,37.5,321,'1'
'32',520,42.5,440,'1'
'32',520,47.5,420,'1'
'32',520,52.5,391,'1'
'32',520,57.5,315,'1'
'32',520,62.5,293,'1'
'32',520,67.5,174,'1'
'32',520,72.5,134,'2'
'32',520,77.5,78,'1'
'32',520,82.5,83,'2'
'33',529,22.5,1971,'1'
'33',529,27.5,842,'1'
'33',529,32.5,693,'1'
'33',529,37.5,840,'1'
'33',529,42.5,899,'1'
'33',529,47.5,934,'1'
'33',529,52.5,705,'1'
'33',529,57.5,535,'1'
'33',529,62.5,448,'2'
'33',529,67.5,361,'2'
'33',529,72.5,261,'2'
'33',529,77.5,138,'1'
'33',529,82.5,62,'2'
'34',538,22.5,851,'1'
'34',538,27.5,383,'1'
'34',538,32.5,318,'1'
'34',538,37.5,330,'1'
'34',538,42.5,306,'1'
'34',538,47.5,328,'1'
'34',538,52.5,328,'1'
'34',538,57.5,297,'1'
'34',538,62.5,230,'2'
'34',538,67.5,121,'2'
'34',538,72.5,87,'1'
'34',538,77.5,52,'2'
'34',538,82.5,36,'1'
'35',544,22.5,719,'1'
'35',544,27.5,338,'1'
'35',544,32.5,194,'1'
'35',544,37.5,228,'1'
'35',544,42.5,328,'1'
'35',544,47.5,340,'1'
'35',544,52.5,304,'2'
'35',544,57.5,260,'1'
'35',544,62.5,209,'1'
'35',544,67.5,146,'1'
'35',544,72.5,136,'1'
'35',544,77.5,104,'1'
'35',544,82.5,107,'1'
'36',599,22.5,1351,'1'
'36',599,27.5,930,'1'
'36',599,32.5,776,'1'
'36',599,37.5,746,'1'
'36',599,42.5,885,'1'
'36',599,47.5,701,'1'
'36',599,52.5,632,'2'
'36',599,57.5,609,'1'
'36',599,62.5,412,'1'
'36',599,67.5,383,'1'
'36',599,72.5,253,'2'
'36',599,77.5,214,'1'
'36',599,82.5,85,'1'
'37',650,22.5,408,'1'
'37',650,27.5,215,'1'
'37',650,32.5,133,'1'
'37',650,37.5,157,'1'
'37',650,42.5,220,'1'
'37',650,47.5,261,'1'
'37',650,52.5,222,'1'
'37',650,57.5,156,'1'
'37',650,62.5,104,'1'
'37',650,67.5,82,'1'
'37',650,72.5,74,'1'
'37',650,77.5,51,'1'
'37',650,82.5,25,'1'
'38',683,22.5,674,'1'
'38',683,27.5,276,'1'
'38',683,32.5,199,'1'
'38',683,37.5,278,'1'
'38',683,42.5,335,'1'
'38',683,47.5,351,'1'
'38',683,52.5,301,'1'
'38',683,57.5,214,'1'
'38',683,62.5,162,'1'
'38',683,67.5,102,'2'
'38',683,72.5,45,'1'
'38',683,77.5,19,'1'
'38',683,82.5,27,'1'
'39',693,22.5,2378,'1'
'39',693,27.5,1562,'1'
'39',693,32.5,1415,'1'
'39',693,37.5,1063,'1'
'39',693,42.5,1059,'1'
'39',693,47.5,1118,'1'
'39',693,52.5,893,'2'
'39',693,57.5,687,'2'
'39',693,62.5,455,'2'
'39',693,67.5,352,'1'
'39',693,72.5,177,'1'
'39',693,77.5,45,'2'
'39',693,82.5,59,'2'
'40',694,22.5,1197,'1'
'40',694,27.5,531,'1'
'40',694,32.5,467,'1'
'40',694,37.5,620,'1'
'40',694,42.5,720,'1'
'40',694,47.5,654,'1'
'40',694,52.5,509,'1'
'40',694,57.5,386,'1'
'40',694,62.5,293,'1'
'40',694,67.5,177,'1'
'40',694,72.5,89,'2'
'40',694,77.5,60,'1'
'40',694,82.5,17,'1'
'41',698,22.5,798,'1'
'41',698,27.5,385,'1'
'41',698,32.5,279,'1'
'41',698,37.5,351,'1'
'41',698,42.5,434,'1'
'41',698,47.5,398,'1'
'41',698,52.5,355,'1'
'41',698,57.5,272,'1'
'41',698,62.5,175,'2'
'41',698,67.5,84,'2'
'41',698,72.5,26,'2'
'41',698,77.5,9,'2'
'41',698,82.5,10,'1'
'42',717,22.5,1126,'1'
'42',717,27.5,590,'1'
'42',717,32.5,379,'1'
'42',717,37.5,384,'1'
'42',717,42.5,488,'1'
'42',717,47.5,517,'1'
'42',717,52.5,434,'1'
'42',717,57.5,312,'1'
'42',717,62.5,210,'1'
'42',717,67.5,168,'1'
'42',717,72.5,131,'1'
'42',717,77.5,98,'2'
'42',717,82.5,40,'1'
'43',934,22.5,1861,'1'
'43',934,27.5,987,'1'
'43',934,32.5,928,'1'
'43',934,37.5,759,'1'
'43',934,42.5,758,'1'
'43',934,47.5,815,'1'
'43',934,52.5,798,'2'
'43',934,57.5,544,'2'
'43',934,62.5,401,'2'
'43',934,67.5,236,'2'
'43',934,72.5,126,'2'
'43',934,77.5,70,'1'
'43',934,82.5,59,'1'
