@relation aux
@attribute WMC numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute LCOM numeric
@attribute NPM numeric
@attribute LOC numeric
@attribute class {'1','2'}
@data
3,6,0,18,652,48,1,178,'2'
5,6,0,22,654,60,1,135,'2'
4,6,0,18,653,40,1,148,'2'
4,6,0,21,653,50,1,179,'2'
6,8,0,10,678,66,4,86,'2'
5,6,0,11,654,70,3,63,'1'
6,6,0,16,655,40,1,332,'2'
1,0,16,1,1,0,0,4,'1'
15,1,0,9,27,66,2,123,'2'
124,1,0,125,136,95,91,2467,'1'
51,1,0,40,63,98,49,955,'1'
29,1,1,52,41,84,17,1045,'1'
2,1,0,13,14,0,1,49,'1'
4,1,0,22,16,50,4,251,'1'
14,2,0,18,45,64,13,288,'1'
9,5,0,30,594,81,3,436,'2'
9,6,0,14,636,83,9,105,'1'
2,1,0,4,14,33,2,204,'1'
17,7,2,38,672,83,10,513,'2'
12,6,0,27,662,86,7,353,'1'
5,7,0,28,660,56,4,117,'2'
3,7,0,27,658,40,3,238,'1'
11,2,0,17,30,76,11,200,'1'
4,4,0,13,627,33,3,52,'2'
3,6,0,5,745,0,3,127,'2'
5,7,0,21,660,75,4,167,'2'
1,0,4,0,1,0,0,4,'2'
12,5,0,33,646,80,12,572,'1'
9,2,0,4,46,70,9,68,'2'
6,7,0,26,661,66,3,302,'2'
6,6,0,19,656,66,4,108,'2'
1,6,0,16,651,0,1,86,'2'
7,7,1,22,662,0,6,75,'2'
6,5,0,29,640,64,3,425,'1'
7,1,0,18,19,60,7,322,'1'
4,5,0,12,638,50,3,129,'2'
8,6,1,13,750,75,8,101,'1'
33,5,0,48,667,85,28,1311,'1'
6,5,0,24,640,66,5,184,'2'
10,5,0,13,836,80,9,143,'1'
23,6,2,22,784,82,15,373,'1'
5,0,2,1,5,0,0,8,'2'
2,5,0,5,704,25,2,50,'2'
5,1,0,6,17,50,3,65,'2'
6,7,0,28,661,60,3,164,'1'
19,1,1,17,31,77,17,204,'1'
2,8,0,3,664,0,2,11,'2'
4,7,0,27,659,70,3,96,'2'
3,7,0,22,658,66,3,114,'1'
14,1,0,31,26,76,10,850,'1'
4,4,0,18,627,44,4,72,'2'
16,1,0,8,28,82,14,181,'2'
5,6,18,5,655,80,4,105,'2'
2,7,0,6,752,50,2,55,'2'
3,7,0,13,658,66,3,158,'2'
8,5,0,12,642,50,8,165,'2'
7,6,0,7,749,42,5,89,'2'
8,2,0,25,78,70,4,206,'1'
4,2,0,1,34,0,3,30,'2'
10,1,0,13,22,78,6,310,'1'
6,1,0,1,18,11,6,39,'2'
13,2,0,9,83,75,11,143,'1'
8,1,0,5,20,66,5,106,'2'
4,1,5,3,16,0,4,27,'2'
2,1,3,1,2,0,0,5,'2'
17,1,0,16,29,82,9,290,'1'
8,1,0,1,20,50,8,43,'2'
13,1,12,3,25,0,13,56,'2'
117,1,0,16,129,96,27,2373,'2'
13,0,1,2,13,0,13,28,'2'
5,3,0,1,42,60,5,30,'2'
3,1,0,11,15,75,1,62,'2'
