@relation aux
@attribute fathers_occupation {'Clerk','Craftsman-Construction','Craftsman-Manufacturing','Craftsmen-Other','Farm_Laborer','Farmer/Farm_Manager','Laborer-Manufacturing','Laborer-Nonmanufacturing','Manager','Operative-Manufacturing','Operative-Nonmanufacturing','Professional-Salaried','Professional_Self-Employed','Proprietor','Salesman-Nonretail','Salesman-Retail','Service_Worker'}
@attribute sons_occupation {'Clerk','Craftsman-Construction','Craftsman-Manufacturing','Craftsmen-Other','Farm_Laborer','Farmer/Farm_Manager','Laborer-Manufacturing','Laborer-Nonmanufacturing','Manager','Operative-Manufacturing','Operative-Nonmanufacturing','Professional-Salaried','Professional_Self-Employed','Proprietor','Salesman-Nonretail','Salesman-Retail','Service_Worker'}
@attribute family_structure {'intact','nonintact'}
@attribute race {'black','white'}
@attribute counts_for_sons_first_occupation numeric
@attribute class {'1','2'}
@data
'Laborer-Manufacturing','Salesman-Nonretail','intact','white',3,'1'
'Laborer-Manufacturing','Proprietor','intact','white',0,'1'
'Laborer-Manufacturing','Clerk','intact','white',27.9,'2'
'Laborer-Manufacturing','Salesman-Retail','intact','white',9.5,'1'
'Laborer-Manufacturing','Craftsman-Manufacturing','intact','white',24.8,'2'
'Laborer-Manufacturing','Craftsmen-Other','intact','white',19.2,'2'
'Laborer-Manufacturing','Craftsman-Construction','intact','white',10,'2'
'Laborer-Manufacturing','Service_Worker','intact','white',9,'1'
'Laborer-Manufacturing','Operative-Nonmanufacturing','intact','white',40.8,'2'
'Laborer-Manufacturing','Operative-Manufacturing','intact','white',69.9,'2'
'Laborer-Manufacturing','Laborer-Manufacturing','intact','white',69.6,'2'
'Laborer-Manufacturing','Laborer-Nonmanufacturing','intact','white',23.9,'1'
'Laborer-Manufacturing','Farmer/Farm_Manager','intact','white',0.7,'1'
'Laborer-Manufacturing','Farm_Laborer','intact','white',17.7,'1'
'Laborer-Nonmanufacturing','Professional_Self-Employed','intact','white',3.8,'1'
'Laborer-Nonmanufacturing','Professional-Salaried','intact','white',41.8,'2'
'Laborer-Nonmanufacturing','Manager','intact','white',11.1,'2'
'Laborer-Nonmanufacturing','Salesman-Nonretail','intact','white',7.1,'1'
'Laborer-Nonmanufacturing','Proprietor','intact','white',4,'1'
'Laborer-Nonmanufacturing','Clerk','intact','white',64.4,'2'
'Laborer-Nonmanufacturing','Salesman-Retail','intact','white',20.3,'1'
'Laborer-Nonmanufacturing','Craftsman-Manufacturing','intact','white',26.1,'2'
'Laborer-Nonmanufacturing','Craftsmen-Other','intact','white',34.9,'2'
'Laborer-Nonmanufacturing','Craftsman-Construction','intact','white',25.5,'2'
'Laborer-Nonmanufacturing','Service_Worker','intact','white',25.5,'2'
'Laborer-Nonmanufacturing','Operative-Nonmanufacturing','intact','white',71.4,'2'
'Laborer-Nonmanufacturing','Operative-Manufacturing','intact','white',92.4,'2'
'Laborer-Nonmanufacturing','Laborer-Manufacturing','intact','white',31.4,'1'
'Laborer-Nonmanufacturing','Laborer-Nonmanufacturing','intact','white',89,'2'
'Laborer-Nonmanufacturing','Farmer/Farm_Manager','intact','white',5.2,'1'
'Laborer-Nonmanufacturing','Farm_Laborer','intact','white',30.6,'1'
'Farmer/Farm_Manager','Professional_Self-Employed','intact','white',11.6,'2'
'Farmer/Farm_Manager','Professional-Salaried','intact','white',210.8,'2'
'Farmer/Farm_Manager','Manager','intact','white',50.1,'2'
'Farmer/Farm_Manager','Salesman-Nonretail','intact','white',29.3,'2'
'Farmer/Farm_Manager','Proprietor','intact','white',8.9,'2'
'Farmer/Farm_Manager','Clerk','intact','white',157.1,'2'
'Farmer/Farm_Manager','Salesman-Retail','intact','white',81.6,'2'
'Farmer/Farm_Manager','Craftsman-Manufacturing','intact','white',69.7,'2'
'Farmer/Farm_Manager','Craftsmen-Other','intact','white',118.1,'2'
'Farmer/Farm_Manager','Craftsman-Construction','intact','white',94.2,'2'
'Farmer/Farm_Manager','Service_Worker','intact','white',62.5,'2'
'Farmer/Farm_Manager','Operative-Nonmanufacturing','intact','white',250.1,'2'
'Farmer/Farm_Manager','Operative-Manufacturing','intact','white',294.7,'2'
'Farmer/Farm_Manager','Laborer-Manufacturing','intact','white',89.1,'2'
'Farmer/Farm_Manager','Laborer-Nonmanufacturing','intact','white',167.6,'2'
'Farmer/Farm_Manager','Farmer/Farm_Manager','intact','white',377.7,'2'
'Farmer/Farm_Manager','Farm_Laborer','intact','white',746.3,'2'
'Farm_Laborer','Professional_Self-Employed','intact','white',1.5,'1'
'Farm_Laborer','Professional-Salaried','intact','white',23.6,'2'
'Farm_Laborer','Manager','intact','white',7.3,'2'
'Farm_Laborer','Salesman-Nonretail','intact','white',3.2,'1'
'Farm_Laborer','Proprietor','intact','white',1.5,'1'
'Farm_Laborer','Clerk','intact','white',27.3,'2'
'Farm_Laborer','Salesman-Retail','intact','white',16.5,'1'
'Farm_Laborer','Craftsman-Manufacturing','intact','white',17.4,'2'
'Farm_Laborer','Craftsmen-Other','intact','white',28.2,'2'
'Farm_Laborer','Craftsman-Construction','intact','white',14.6,'2'
'Farm_Laborer','Service_Worker','intact','white',20.5,'2'
'Farm_Laborer','Operative-Nonmanufacturing','intact','white',64.4,'2'
'Farm_Laborer','Operative-Manufacturing','intact','white',81.5,'2'
'Farm_Laborer','Laborer-Manufacturing','intact','white',19.1,'2'
'Farm_Laborer','Laborer-Nonmanufacturing','intact','white',40.8,'2'
'Farm_Laborer','Farmer/Farm_Manager','intact','white',11.2,'2'
'Farm_Laborer','Farm_Laborer','intact','white',239.3,'2'
'Professional_Self-Employed','Professional_Self-Employed','nonintact','white',0.9,'1'
'Professional_Self-Employed','Professional-Salaried','nonintact','white',5,'1'
'Professional_Self-Employed','Manager','nonintact','white',1.1,'1'
'Professional_Self-Employed','Salesman-Nonretail','nonintact','white',2.1,'1'
'Professional_Self-Employed','Proprietor','nonintact','white',0,'1'
'Professional_Self-Employed','Clerk','nonintact','white',2.1,'1'
'Professional_Self-Employed','Salesman-Retail','nonintact','white',1.5,'1'
'Professional_Self-Employed','Craftsman-Manufacturing','nonintact','white',0,'1'
'Professional_Self-Employed','Craftsmen-Other','nonintact','white',0,'1'
'Professional_Self-Employed','Craftsman-Construction','nonintact','white',0.9,'1'
'Professional_Self-Employed','Service_Worker','nonintact','white',0.8,'1'
'Professional_Self-Employed','Operative-Nonmanufacturing','nonintact','white',2.3,'1'
'Professional_Self-Employed','Operative-Manufacturing','nonintact','white',1.9,'1'
'Professional_Self-Employed','Laborer-Manufacturing','nonintact','white',1.6,'1'
'Professional_Self-Employed','Laborer-Nonmanufacturing','nonintact','white',0.9,'1'
'Professional_Self-Employed','Farmer/Farm_Manager','nonintact','white',0.7,'1'
'Professional_Self-Employed','Farm_Laborer','nonintact','white',0,'1'
'Professional-Salaried','Professional_Self-Employed','nonintact','white',0,'1'
'Professional-Salaried','Professional-Salaried','nonintact','white',33.9,'2'
'Professional-Salaried','Manager','nonintact','white',5.6,'1'
'Professional-Salaried','Salesman-Nonretail','nonintact','white',4,'1'
'Professional-Salaried','Proprietor','nonintact','white',0.8,'1'
'Professional-Salaried','Clerk','nonintact','white',11.6,'1'
'Professional-Salaried','Salesman-Retail','nonintact','white',5.1,'1'
'Professional-Salaried','Craftsman-Manufacturing','nonintact','white',5.4,'1'
'Professional-Salaried','Craftsmen-Other','nonintact','white',4.3,'1'
'Professional-Salaried','Craftsman-Construction','nonintact','white',1.5,'1'
'Professional-Salaried','Service_Worker','nonintact','white',8.6,'1'
'Professional-Salaried','Operative-Nonmanufacturing','nonintact','white',8.5,'1'
'Professional-Salaried','Operative-Manufacturing','nonintact','white',9.5,'1'
'Professional-Salaried','Laborer-Manufacturing','nonintact','white',2.4,'1'
'Professional-Salaried','Laborer-Nonmanufacturing','nonintact','white',4.6,'1'
'Professional-Salaried','Farmer/Farm_Manager','nonintact','white',0.8,'1'
'Professional-Salaried','Farm_Laborer','nonintact','white',4.2,'1'
'Manager','Professional_Self-Employed','nonintact','white',1.3,'1'
'Manager','Professional-Salaried','nonintact','white',14,'1'
'Manager','Manager','nonintact','white',1.5,'1'
'Manager','Salesman-Nonretail','nonintact','white',6.8,'1'
'Manager','Proprietor','nonintact','white',0.6,'1'
'Manager','Clerk','nonintact','white',10.3,'1'
'Manager','Salesman-Retail','nonintact','white',6.3,'1'
'Manager','Craftsman-Manufacturing','nonintact','white',2.3,'1'
'Manager','Craftsmen-Other','nonintact','white',4.4,'1'
'Manager','Craftsman-Construction','nonintact','white',1.6,'1'
'Manager','Service_Worker','nonintact','white',3.2,'1'
'Manager','Operative-Nonmanufacturing','nonintact','white',7.6,'1'
'Manager','Operative-Manufacturing','nonintact','white',3.4,'1'
'Manager','Laborer-Manufacturing','nonintact','white',2.5,'1'
'Manager','Laborer-Nonmanufacturing','nonintact','white',5.7,'1'
'Manager','Farmer/Farm_Manager','nonintact','white',0,'1'
'Manager','Farm_Laborer','nonintact','white',1.6,'1'
'Salesman-Nonretail','Professional_Self-Employed','nonintact','white',0,'1'
'Salesman-Nonretail','Professional-Salaried','nonintact','white',4.8,'1'
'Salesman-Nonretail','Manager','nonintact','white',3.7,'1'
'Salesman-Nonretail','Salesman-Nonretail','nonintact','white',3.4,'1'
'Salesman-Nonretail','Proprietor','nonintact','white',0,'1'
'Salesman-Nonretail','Clerk','nonintact','white',3.2,'1'
'Salesman-Nonretail','Salesman-Retail','nonintact','white',0.7,'1'
'Salesman-Nonretail','Craftsman-Manufacturing','nonintact','white',0.8,'1'
'Salesman-Nonretail','Craftsmen-Other','nonintact','white',0.6,'1'
'Salesman-Nonretail','Craftsman-Construction','nonintact','white',0.4,'1'
'Salesman-Nonretail','Service_Worker','nonintact','white',1.7,'1'
'Salesman-Nonretail','Operative-Nonmanufacturing','nonintact','white',3.7,'1'
'Salesman-Nonretail','Operative-Manufacturing','nonintact','white',2.4,'1'
'Salesman-Nonretail','Laborer-Manufacturing','nonintact','white',0,'1'
'Salesman-Nonretail','Laborer-Nonmanufacturing','nonintact','white',1.5,'1'
'Salesman-Nonretail','Farmer/Farm_Manager','nonintact','white',0,'1'
'Salesman-Nonretail','Farm_Laborer','nonintact','white',0,'1'
'Proprietor','Professional_Self-Employed','nonintact','white',1.5,'1'
'Proprietor','Professional-Salaried','nonintact','white',13.3,'1'
'Proprietor','Manager','nonintact','white',6.5,'1'
'Proprietor','Salesman-Nonretail','nonintact','white',4,'1'
'Proprietor','Proprietor','nonintact','white',3,'1'
'Proprietor','Clerk','nonintact','white',10.4,'1'
'Proprietor','Salesman-Retail','nonintact','white',5,'1'
'Proprietor','Craftsman-Manufacturing','nonintact','white',1.2,'1'
'Proprietor','Craftsmen-Other','nonintact','white',6.5,'1'
'Proprietor','Craftsman-Construction','nonintact','white',3.7,'1'
'Proprietor','Service_Worker','nonintact','white',4.9,'1'
'Proprietor','Operative-Nonmanufacturing','nonintact','white',7.6,'1'
'Proprietor','Operative-Manufacturing','nonintact','white',18.1,'1'
'Proprietor','Laborer-Manufacturing','nonintact','white',3,'1'
'Proprietor','Laborer-Nonmanufacturing','nonintact','white',7.3,'1'
'Proprietor','Farmer/Farm_Manager','nonintact','white',0.4,'1'
'Proprietor','Farm_Laborer','nonintact','white',2.6,'1'
'Clerk','Professional_Self-Employed','nonintact','white',1.4,'1'
'Clerk','Professional-Salaried','nonintact','white',40.5,'2'
'Clerk','Manager','nonintact','white',7.5,'2'
'Clerk','Salesman-Nonretail','nonintact','white',4.2,'1'
'Clerk','Proprietor','nonintact','white',0,'1'
'Clerk','Clerk','nonintact','white',26.5,'2'
'Clerk','Salesman-Retail','nonintact','white',14.4,'1'
'Clerk','Craftsman-Manufacturing','nonintact','white',4.8,'1'
'Clerk','Craftsmen-Other','nonintact','white',7,'1'
'Clerk','Craftsman-Construction','nonintact','white',9.2,'1'
'Clerk','Service_Worker','nonintact','white',12.6,'1'
'Clerk','Operative-Nonmanufacturing','nonintact','white',16.3,'1'
'Clerk','Operative-Manufacturing','nonintact','white',23.8,'1'
'Clerk','Laborer-Manufacturing','nonintact','white',5.6,'1'
'Clerk','Laborer-Nonmanufacturing','nonintact','white',11,'1'
'Clerk','Farmer/Farm_Manager','nonintact','white',0.8,'1'
