@relation aux
@attribute group {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','25','26','27','28','29','30','31','32','33','34','35','36','37','38','39','40','41','42','43'}
@attribute conc numeric
@attribute age numeric
@attribute at.risk numeric
@attribute class {'1','2'}
@data
'28',448,32.5,379,'1'
'28',448,37.5,374,'1'
'28',448,42.5,415,'1'
'28',448,47.5,364,'1'
'28',448,52.5,339,'1'
'28',448,57.5,287,'1'
'28',448,62.5,220,'1'
'28',448,67.5,169,'1'
'28',448,72.5,140,'1'
'28',448,77.5,86,'1'
'28',448,82.5,22,'1'
'29',467,22.5,1476,'1'
'29',467,27.5,782,'1'
'29',467,32.5,614,'1'
'29',467,37.5,621,'1'
'29',467,42.5,677,'1'
'29',467,47.5,579,'1'
'29',467,52.5,466,'1'
'29',467,57.5,294,'2'
'29',467,62.5,247,'1'
'29',467,67.5,206,'1'
'29',467,72.5,96,'1'
'29',467,77.5,64,'1'
'29',467,82.5,57,'1'
'30',504,22.5,1348,'1'
'30',504,27.5,696,'1'
'30',504,32.5,546,'1'
'30',504,37.5,514,'1'
'30',504,42.5,637,'1'
'30',504,47.5,549,'1'
'30',504,52.5,445,'1'
'30',504,57.5,371,'1'
'30',504,62.5,294,'1'
'30',504,67.5,201,'1'
'30',504,72.5,104,'1'
'30',504,77.5,80,'1'
'30',504,82.5,58,'1'
'31',520,22.5,1089,'1'
'31',520,27.5,531,'1'
'31',520,32.5,326,'1'
'31',520,37.5,322,'1'
'31',520,42.5,418,'1'
'31',520,47.5,396,'1'
'31',520,52.5,332,'1'
'31',520,57.5,247,'1'
'31',520,62.5,220,'1'
'31',520,67.5,194,'1'
'31',520,72.5,148,'1'
'31',520,77.5,93,'1'
'31',520,82.5,74,'1'
'32',520,22.5,1161,'1'
'32',520,27.5,778,'1'
'32',520,32.5,450,'1'
'32',520,37.5,420,'1'
'32',520,42.5,419,'1'
'32',520,47.5,430,'1'
'32',520,52.5,362,'1'
'32',520,57.5,279,'1'
'32',520,62.5,207,'1'
'32',520,67.5,166,'1'
'32',520,72.5,129,'1'
'32',520,77.5,43,'1'
'32',520,82.5,26,'1'
'33',529,22.5,2383,'1'
'33',529,27.5,1446,'1'
'33',529,32.5,859,'1'
'33',529,37.5,855,'1'
'33',529,42.5,892,'1'
'33',529,47.5,847,'1'
'33',529,52.5,691,'1'
'33',529,57.5,550,'1'
'33',529,62.5,373,'1'
'33',529,67.5,295,'1'
'33',529,72.5,145,'1'
'33',529,77.5,67,'1'
'33',529,82.5,51,'1'
'34',538,22.5,1129,'1'
'34',538,27.5,616,'1'
'34',538,32.5,363,'1'
'34',538,37.5,331,'1'
'34',538,42.5,352,'1'
'34',538,47.5,296,'1'
'34',538,52.5,307,'1'
'34',538,57.5,279,'1'
'34',538,62.5,249,'1'
'34',538,67.5,173,'1'
'34',538,72.5,106,'1'
'34',538,77.5,39,'1'
'34',538,82.5,47,'1'
'35',544,22.5,910,'1'
'35',544,27.5,505,'1'
'35',544,32.5,255,'1'
'35',544,37.5,238,'1'
'35',544,42.5,324,'1'
'35',544,47.5,330,'1'
'35',544,52.5,295,'1'
'35',544,57.5,208,'1'
'35',544,62.5,179,'1'
'35',544,67.5,152,'1'
'35',544,72.5,139,'1'
'35',544,77.5,61,'1'
'35',544,82.5,59,'1'
'36',599,22.5,2158,'1'
'36',599,27.5,1217,'1'
'36',599,32.5,935,'1'
'36',599,37.5,747,'1'
'36',599,42.5,854,'1'
'36',599,47.5,698,'1'
'36',599,52.5,702,'1'
'36',599,57.5,560,'1'
'36',599,62.5,502,'1'
'36',599,67.5,226,'1'
'36',599,72.5,227,'1'
'36',599,77.5,142,'1'
'36',599,82.5,91,'1'
'37',650,22.5,620,'1'
'37',650,27.5,345,'1'
'37',650,32.5,186,'1'
'37',650,37.5,148,'1'
'37',650,42.5,178,'1'
'37',650,47.5,233,'1'
'37',650,52.5,227,'1'
'37',650,57.5,156,'1'
'37',650,62.5,122,'1'
'37',650,67.5,88,'1'
'37',650,72.5,57,'1'
'37',650,77.5,46,'1'
'37',650,82.5,19,'1'
'38',683,22.5,878,'1'
'38',683,27.5,329,'1'
'38',683,32.5,200,'1'
'38',683,37.5,264,'1'
'38',683,42.5,316,'1'
'38',683,47.5,299,'1'
'38',683,52.5,247,'1'
'38',683,57.5,195,'1'
'38',683,62.5,172,'1'
'38',683,67.5,128,'1'
'38',683,72.5,84,'1'
'38',683,77.5,33,'1'
'38',683,82.5,10,'1'
'39',693,22.5,2567,'1'
'39',693,27.5,1759,'1'
'39',693,32.5,1537,'1'
'39',693,37.5,1037,'1'
'39',693,42.5,1057,'1'
'39',693,47.5,1033,'1'
'39',693,52.5,690,'2'
'39',693,57.5,591,'2'
'39',693,62.5,420,'1'
'39',693,67.5,206,'1'
'39',693,72.5,167,'1'
'39',693,77.5,45,'2'
'39',693,82.5,14,'1'
'40',694,22.5,1817,'1'
'40',694,27.5,1024,'1'
'40',694,32.5,598,'1'
'40',694,37.5,573,'1'
'40',694,42.5,683,'1'
'40',694,47.5,679,'1'
'40',694,52.5,525,'1'
'40',694,57.5,418,'1'
'40',694,62.5,308,'1'
'40',694,67.5,193,'1'
'40',694,72.5,118,'1'
'40',694,77.5,46,'1'
'40',694,82.5,28,'1'
'41',698,22.5,1085,'1'
'41',698,27.5,617,'1'
'41',698,32.5,390,'1'
'41',698,37.5,361,'1'
'41',698,42.5,395,'1'
'41',698,47.5,339,'1'
'41',698,52.5,337,'1'
'41',698,57.5,275,'1'
'41',698,62.5,195,'1'
'41',698,67.5,167,'1'
'41',698,72.5,102,'1'
'41',698,77.5,37,'1'
'41',698,82.5,10,'1'
'42',717,22.5,1425,'1'
'42',717,27.5,849,'1'
'42',717,32.5,509,'1'
'42',717,37.5,463,'1'
'42',717,42.5,530,'1'
'42',717,47.5,501,'1'
'42',717,52.5,473,'1'
'42',717,57.5,334,'1'
'42',717,62.5,269,'1'
'42',717,67.5,212,'1'
'42',717,72.5,133,'1'
'42',717,77.5,80,'1'
'42',717,82.5,37,'1'
'43',934,22.5,2085,'1'
'43',934,27.5,1209,'1'
'43',934,32.5,1087,'1'
'43',934,37.5,745,'1'
'43',934,42.5,693,'1'
'43',934,47.5,739,'1'
'43',934,52.5,616,'1'
'43',934,57.5,513,'2'
'43',934,62.5,342,'1'
'43',934,67.5,154,'1'
'43',934,72.5,87,'1'
'43',934,77.5,30,'1'
'43',934,82.5,41,'1'
