@relation aux
@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class {'1','2'}
@data
75,2000,16000,64,1,38,'2'
75,2000,16000,128,1,38,'2'
90,256,1000,0,3,10,'1'
105,256,2000,0,3,10,'1'
105,1000,4000,0,3,24,'1'
105,2000,4000,8,3,19,'1'
75,2000,8000,8,3,24,'1'
75,3000,8000,8,3,48,'1'
175,256,2000,0,3,24,'1'
300,768,3000,0,6,24,'1'
300,768,3000,6,6,24,'1'
300,768,12000,6,6,24,'1'
300,768,4500,0,1,24,'1'
300,384,12000,6,1,24,'1'
300,192,768,6,6,24,'1'
180,768,12000,6,1,31,'1'
330,1000,3000,0,2,4,'1'
300,1000,4000,8,3,64,'1'
300,1000,16000,8,2,112,'1'
330,1000,2000,0,1,2,'1'
330,1000,4000,0,3,6,'1'
140,2000,4000,0,3,6,'1'
140,2000,4000,0,4,8,'1'
140,2000,4000,8,1,20,'1'
140,2000,32000,32,1,20,'2'
140,2000,8000,32,1,54,'1'
140,2000,32000,32,1,54,'2'
140,2000,32000,32,1,54,'2'
140,2000,4000,8,1,20,'1'
57,4000,16000,1,6,12,'2'
57,4000,24000,64,12,16,'2'
26,16000,32000,64,16,24,'2'
26,16000,32000,64,8,24,'2'
26,8000,32000,0,8,24,'2'
26,8000,16000,0,8,16,'2'
480,96,512,0,1,1,'1'
203,1000,2000,0,1,5,'1'
115,512,6000,16,1,6,'1'
1100,512,1500,0,1,1,'1'
1100,768,2000,0,1,1,'1'
600,768,2000,0,1,1,'1'
400,2000,4000,0,1,1,'1'
400,4000,8000,0,1,1,'1'
900,1000,1000,0,1,2,'1'
900,512,1000,0,1,2,'1'
900,1000,4000,4,1,2,'1'
900,1000,4000,8,1,2,'1'
900,2000,4000,0,3,6,'1'
225,2000,4000,8,3,6,'1'
225,2000,4000,8,3,6,'1'
180,2000,8000,8,1,6,'1'
185,2000,16000,16,1,6,'1'
180,2000,16000,16,1,6,'1'
225,1000,4000,2,3,6,'1'
25,2000,12000,8,1,4,'1'
25,2000,12000,16,3,5,'1'
17,4000,16000,8,6,12,'1'
17,4000,16000,32,6,12,'2'
1500,768,1000,0,0,0,'1'
1500,768,2000,0,0,0,'1'
800,768,2000,0,0,0,'1'
50,2000,4000,0,3,6,'1'
50,2000,8000,8,3,6,'1'
50,2000,8000,8,1,6,'1'
50,2000,16000,24,1,6,'1'
50,2000,16000,24,1,6,'1'
50,8000,16000,48,1,10,'2'
100,1000,8000,0,2,6,'1'
100,1000,8000,24,2,6,'1'
100,1000,8000,24,3,6,'1'
50,2000,16000,12,3,16,'1'
50,2000,16000,24,6,16,'1'
50,2000,16000,24,6,16,'1'
150,512,4000,0,8,128,'1'
115,2000,8000,16,1,3,'1'
115,2000,4000,2,1,5,'1'
92,2000,8000,32,1,6,'1'
92,2000,8000,32,1,6,'1'
92,2000,8000,4,1,6,'1'
75,4000,16000,16,1,6,'1'
60,4000,16000,32,1,6,'1'
60,2000,16000,64,5,8,'1'
60,4000,16000,64,5,8,'1'
50,4000,16000,64,5,10,'2'
72,4000,16000,64,8,16,'2'
72,2000,8000,16,6,8,'1'
40,8000,16000,32,8,16,'2'
40,8000,32000,64,8,24,'2'
35,8000,32000,64,8,24,'2'
38,16000,32000,128,16,32,'2'
48,4000,24000,32,8,24,'2'
38,8000,32000,64,8,24,'2'
30,16000,32000,256,16,24,'2'
112,1000,1000,0,1,4,'1'
84,1000,2000,0,1,6,'1'
56,1000,4000,0,1,6,'1'
56,2000,6000,0,1,8,'1'
56,2000,8000,0,1,8,'1'
56,4000,8000,0,1,8,'1'
56,4000,12000,0,1,8,'1'
56,4000,16000,0,1,8,'1'
38,4000,8000,32,16,32,'1'
38,4000,8000,32,16,32,'2'
38,8000,16000,64,4,8,'1'
38,8000,24000,160,4,8,'2'
38,4000,16000,128,16,32,'2'
200,1000,2000,0,1,2,'1'
200,1000,4000,0,1,4,'1'
200,2000,8000,64,1,5,'1'
250,512,4000,0,1,7,'1'
250,512,4000,0,4,7,'1'
250,1000,16000,1,1,8,'1'
160,512,4000,2,1,5,'1'
160,512,2000,2,3,8,'1'
160,1000,4000,8,1,14,'1'
160,1000,8000,16,1,14,'1'
160,2000,8000,32,1,13,'2'
240,512,1000,8,1,3,'1'
240,512,2000,8,1,5,'1'
105,2000,4000,8,3,8,'1'
105,2000,6000,16,6,16,'1'
105,2000,8000,16,4,14,'1'
52,4000,16000,32,4,12,'2'
70,4000,12000,8,6,8,'1'
59,4000,12000,32,6,12,'2'
59,8000,16000,64,12,24,'2'
26,8000,24000,32,8,16,'2'
26,8000,32000,64,12,16,'2'
26,8000,32000,128,24,32,'2'
116,2000,8000,32,5,28,'1'
50,2000,32000,24,6,26,'2'
50,2000,32000,48,26,52,'2'
50,2000,32000,112,52,104,'2'
50,4000,32000,112,52,104,'2'
30,8000,64000,96,12,176,'2'
30,8000,64000,128,12,176,'2'
180,262,4000,0,1,3,'1'
180,512,4000,0,1,3,'1'
180,262,4000,0,1,3,'1'
180,512,4000,0,1,3,'1'
124,1000,8000,0,1,8,'1'
98,1000,8000,32,2,8,'1'
125,2000,8000,0,2,14,'1'
480,512,8000,32,0,0,'1'
480,1000,4000,0,0,0,'1'
