@relation aux
@attribute xs numeric
@attribute ys numeric
@attribute class {'1','2'}
@data
-0.96984525,0.46624927,'1'
0.43541407,0.12192386,'1'
-0.67942462,0.30753942,'1'
-0.62529036,0.07099046,'1'
-0.02318116,0.40442601,'1'
0.23200141,0.71066846,'1'
0.09384354,0.46674396,'1'
0.14234301,0.17898711,'1'
-0.61686357,0.25507763,'1'
0.23636288,0.51543839,'1'
0.38914177,0.40429568,'1'
-0.95178678,-0.03772239,'1'
0.24087822,0.7194889,'1'
0.12446266,0.45178849,'1'
-0.6056643,0.26906478,'1'
-0.71397188,0.3087178,'1'
0.31008428,0.34675335,'1'
0.18018786,0.46204643,'1'
-0.42663885,0.64723225,'1'
0.0614323,0.3249115,'1'
0.07736952,0.32183287,'1'
0.4281497,0.13445957,'1'
-0.80250753,0.66878999,'1'
0.40142623,0.42516398,'1'
0.37084776,0.26407123,'1'
-0.80774748,0.41485899,'1'
0.50163585,0.23934856,'1'
0.58238323,0.22842741,'1'
-0.591361,0.30230321,'1'
-0.87037236,0.26941446,'1'
-0.72086765,0.19676678,'1'
0.27778443,0.21792253,'1'
0.33240813,0.27349865,'1'
-0.14092068,0.39247351,'1'
-0.59759518,0.14790267,'1'
-0.85581534,0.14513961,'1'
-0.88912232,0.26896001,'1'
0.2134568,0.43611756,'1'
-0.53467949,0.57901229,'1'
0.31686848,0.39705856,'1'
-0.68121733,0.0420984,'1'
-0.97586127,0.45964811,'1'
0.41457183,0.2714123,'1'
0.32751292,0.36780137,'1'
-0.93209192,0.09362034,'1'
0.58395341,0.47147282,'1'
-0.44437309,0.23010142,'1'
0.29109441,0.19365556,'1'
-0.51080722,0.41496003,'1'
-0.96597511,0.17931052,'1'
0.18741315,0.29747132,'1'
0.17965417,0.45175449,'1'
-0.72689602,0.35728387,'1'
-0.54339877,0.41012013,'1'
-0.59823393,0.98701425,'2'
-0.20194736,0.6210168,'2'
0.47146103,0.48221146,'2'
-0.09821987,0.58755577,'2'
-0.35657658,0.63709705,'2'
0.63881392,0.42112135,'2'
0.62980614,0.28146085,'2'
-0.46223286,0.61661031,'2'
-0.07331555,0.55821736,'2'
-0.55405533,0.51253129,'2'
-0.43761773,0.87811781,'2'
-0.22237814,0.88850773,'2'
0.09346162,0.67310494,'2'
0.53174745,0.5437265,'2'
0.40207539,0.51638462,'2'
0.47555171,0.65056336,'2'
-0.23383266,0.6364258,'2'
-0.31579316,0.7503134,'2'
-0.4735172,0.63854125,'2'
0.59239464,0.89256953,'2'
-0.22605324,0.79789454,'2'
-0.43995011,0.52099256,'2'
-0.54645044,0.74577198,'2'
0.46404306,0.51065152,'2'
-0.15194296,0.81218439,'2'
0.48536395,0.82018093,'2'
0.34725649,0.70813773,'2'
0.43897015,0.62817158,'2'
-0.21415914,0.64363951,'2'
0.57380231,0.63713466,'2'
0.38717361,0.58578395,'2'
0.32038322,0.53529127,'2'
-0.20781491,0.65132467,'2'
-0.18651283,0.81754816,'2'
0.24752692,0.39081936,'2'
0.66049881,0.89919213,'2'
-0.28658801,0.73375946,'2'
-0.3258808,0.39865509,'2'
-0.25204565,0.67358326,'2'
0.37259022,0.49785904,'2'
-0.29096564,1.0437206,'2'
-0.30469807,0.86858292,'2'
-0.21389978,1.09317811,'2'
-0.36830015,0.75639546,'2'
-0.46928218,0.88775091,'2'
0.39350146,0.77975197,'2'
-0.45639966,0.80523454,'2'
0.51128242,0.76606136,'2'
0.22550468,0.46451215,'2'
0.01462984,0.40190926,'2'
-0.19172785,0.80943313,'2'
0.38323479,0.75601744,'2'
0.49791612,0.61334375,'2'
0.3533523,0.77324337,'2'
-0.34722575,0.70177856,'2'
0.58380468,0.76357539,'2'
-0.13727764,0.71246351,'2'
0.38827268,0.44977123,'2'
-0.53172709,0.61934293,'2'
-0.11684624,0.8785121,'2'
0.54335864,0.41174865,'2'
-0.45399302,0.66512988,'2'
-0.219132,0.83484947,'2'
0.30485742,0.9802876,'2'
0.65676798,0.75766017,'2'
0.61420447,0.75039019,'2'
-0.45809964,0.77968606,'2'
-0.21617465,0.88626305,'2'
-0.26016108,0.81008591,'2'
0.31884531,0.84517725,'2'
-0.23727415,0.80178784,'2'
0.58310323,0.77709806,'2'
0.02841337,0.7579262,'2'
-0.41840136,0.6804144,'2'
0.6741288,0.60245461,'2'
-0.25278281,0.70526103,'2'
0.51609843,0.6209239,'2'
0.20392294,0.91641482,'2'
-0.17207124,1.00884096,'2'
0.27274507,0.29346977,'2'
0.07634798,0.56222204,'2'
-0.36653499,0.64831007,'2'
0.44290673,0.80087721,'2'
-0.19976385,0.54295162,'2'
-0.54075738,0.65293033,'2'
-0.07060266,1.00296912,'2'
0.50715054,0.35045758,'2'
-0.06048611,0.62982713,'2'
0.21532928,0.60260249,'2'
0.46809108,0.87182416,'2'
-0.29888511,0.73669866,'2'
0.8612962,0.4728933,'2'
0.70120877,0.74572893,'2'
-0.11342797,0.60067099,'2'
0.31234354,0.90756345,'2'
-0.12172541,0.84112851,'2'
0.36867857,0.37052586,'2'
0.57311489,0.4094974,'2'
-0.25841225,0.67192335,'2'
0.30937186,0.50823318,'2'
0.43319338,0.77016967,'2'
-0.30448035,0.57820106,'2'
0.44276338,0.58023403,'2'
-0.19442057,0.89876808,'2'
-0.06105237,0.74184946,'2'
0.07619347,0.35386246,'2'
0.85826993,0.95819523,'2'
0.370392,0.72342401,'2'
0.51481515,0.76203996,'2'
0.43127521,0.54259166,'2'
0.42286091,0.65242185,'2'
0.29815001,0.93453682,'2'
0.37128253,0.70089181,'2'
-0.51528729,0.7647349,'2'
0.38525783,0.65528189,'2'
-0.34825368,0.50529981,'2'
0.68510504,0.7806744,'2'
-0.36528923,0.45703265,'2'
-0.40903577,0.74230433,'2'
0.43574387,0.44689789,'2'
0.26887846,0.4455923,'2'
-0.49254862,1.01443372,'2'
0.0761596,0.6379518,'2'
0.49226224,0.46876241,'2'
-0.40249641,0.71301084,'2'
