@relation aux
@attribute time numeric
@attribute Diam {'<=2cm','>2cm'}
@attribute N {'>=4','1-3'}
@attribute ER {'Negative','Positive'}
@attribute Grade {'Poorly diff','Intermediate','Well diff'}
@attribute Age numeric
@attribute TSPYL5 numeric
@attribute Contig63649_RC numeric
@attribute DIAPH3 numeric
@attribute NUSAP1 numeric
@attribute AA555029_RC numeric
@attribute ALDH4A1 numeric
@attribute QSCN6L1 numeric
@attribute FGF18 numeric
@attribute DIAPH3.1 numeric
@attribute Contig32125_RC numeric
@attribute BBC3 numeric
@attribute DIAPH3.2 numeric
@attribute RP5.860F19.3 numeric
@attribute C16orf61 numeric
@attribute SCUBE2 numeric
@attribute EXT1 numeric
@attribute FLT1 numeric
@attribute GNAZ numeric
@attribute OXCT1 numeric
@attribute MMP9 numeric
@attribute RUNDC1 numeric
@attribute Contig35251_RC numeric
@attribute ECT2 numeric
@attribute GMPS numeric
@attribute KNTC2 numeric
@attribute WISP1 numeric
@attribute CDC42BPA numeric
@attribute SERF1A numeric
@attribute AYTL2 numeric
@attribute GSTM3 numeric
@attribute GPR180 numeric
@attribute RAB6B numeric
@attribute ZNF533 numeric
@attribute RTN4RL1 numeric
@attribute UCHL5 numeric
@attribute PECI numeric
@attribute MTDH numeric
@attribute Contig40831_RC numeric
@attribute TGFB3 numeric
@attribute MELK numeric
@attribute COL4A2 numeric
@attribute DTL numeric
@attribute STK32B numeric
@attribute DCK numeric
@attribute FBXO31 numeric
@attribute GPR126 numeric
@attribute SLC2A3 numeric
@attribute PECI.1 numeric
@attribute ORC6L numeric
@attribute RFC4 numeric
@attribute CDCA7 numeric
@attribute LOC643008 numeric
@attribute MS4A7 numeric
@attribute MCM6 numeric
@attribute AP2B1 numeric
@attribute C9orf30 numeric
@attribute IGFBP5 numeric
@attribute HRASLS numeric
@attribute PITRM1 numeric
@attribute IGFBP5.1 numeric
@attribute NMU numeric
@attribute PALM2.AKAP2 numeric
@attribute LGP2 numeric
@attribute PRC1 numeric
@attribute Contig20217_RC numeric
@attribute CENPA numeric
@attribute EGLN1 numeric
@attribute NM_004702 numeric
@attribute ESM1 numeric
@attribute C20orf46 numeric
@attribute class {'0','1'}
@data
17.240246,'>2cm','1-3','Negative','Intermediate',44,0.099262,0.174856,-0.207665,-0.066589,-0.025635,0.017502,0.000222,-0.248828,0.009486,-0.12908,-0.413006,-0.008188,-0.070279,-0.125406,-0.739663,-0.043167,0.034804,-0.170262,0.053416,-0.205357,-0.202048,0.079777,-0.040935,-0.372399,0.305975,-0.297446,-0.371543,-0.149006,0.168269,-0.217263,0.070182,0.185722,-0.530771,-0.025754,-0.083922,-0.013931,-0.162197,0.127555,-0.236714,-0.338667,0.066546,-0.076723,0.138277,0.197974,-0.349735,0.419931,0.150494,-0.188077,0.283194,-0.111612,-0.340999,0.870922,-0.274368,-0.172727,-0.126188,-0.162712,-0.201909,-0.296533,-0.009178,-0.107216,-0.323455,0.053161,-0.229324,-0.048555,0.276523,-0.334603,0.071095,-0.11161,-0.446788,0.241416,'0'
0.960986,'<=2cm','>=4','Positive','Intermediate',36,-0.739281,-0.003125,0.276466,0.358043,0.082145,-0.114959,-0.054545,-0.3758,0.342475,-0.096182,0.205516,0.143723,0.080736,0.125409,-0.727241,-0.028806,-0.009928,-0.23844,-0.002112,-0.07325,-0.081605,-0.100378,0.238537,0.03789,0.293058,-0.147411,-0.347949,0.187168,-0.072628,-0.218482,-0.3703,-0.270417,-0.764034,0.12379,-0.08034,0.09721,0.0585,0.079465,-0.098013,0.416543,0.060927,0.23836,0.19565,-0.039304,0.035341,-0.431805,0.182857,0.130508,0.166277,0.103079,0.16176,-0.257665,-0.323566,-0.000816,0.100518,-0.038752,-0.116951,-0.257659,-0.125763,-0.054535,-0.007192,-0.236108,-0.001936,0.255362,-0.121365,-0.005671,-0.181258,0.298978,0.112619,-0.061539,'1'
14.01232,'>2cm','>=4','Positive','Poorly diff',42,-0.043073,0.22627,0.061328,0.058752,-0.018204,-0.185242,-0.144673,0.028135,0.030151,-0.098058,0.087975,0.038285,-0.108592,-0.133351,-0.004672,0.025251,0.004699,-0.0488,-0.027181,-0.178166,-0.052698,0.057437,0.109215,0.115959,0.061026,0.175883,0.047232,-0.060943,-0.12038,-0.325529,0.158448,-0.148009,-0.401027,-0.094666,0.173152,-0.050249,-0.059896,-0.249567,-0.016075,-0.0064,-0.099263,0.004448,-0.067584,-0.020148,-0.045551,-0.113656,0.123413,-0.007473,0.000488,-0.083345,-0.308914,-0.304212,0.140187,-0.102151,0.039073,-0.002186,0.439414,0.070567,0.120467,0.35165,-0.099332,0.030786,0.049203,-0.053915,-0.177731,-0.429865,0.104567,-0.213848,0.078728,-0.302952,'1'
17.659138,'>2cm','>=4','Positive','Poorly diff',42,-0.168921,0.011421,-0.139547,-0.152508,-0.131331,0.145197,-0.146522,0.075243,-0.104506,-0.069078,0.14849,-0.022884,0.423578,-0.162389,0.283622,-0.039804,-0.098927,-0.096869,-0.314393,-0.413534,0.084049,-0.195957,-0.256052,-0.012842,0.008029,0.08891,-0.064918,-0.102042,0.068451,0.229517,-0.205503,-0.124153,0.353951,0.323148,-0.033104,0.103145,-0.059603,-0.078399,0.282643,-0.02505,0.072802,0.049814,0.02109,-0.007213,0.021044,-0.082842,-0.067918,0.135969,-0.293648,-0.111396,-0.324861,-0.219895,0.045418,-0.076074,0.165709,0.021835,-0.322167,0.067895,0.081686,-0.224001,-0.126337,0.000986,0.099996,-0.098344,-0.178032,-0.300722,-0.032879,-0.252599,-0.175623,-0.239673,'0'
7.874059,'>2cm','1-3','Positive','Well diff',45,-0.391507,-0.26789,-0.010508,-0.11708,-0.289743,0.044308,-0.249137,-0.044629,-0.007284,0.107747,0.083175,-0.001958,-0.155974,-0.213474,0.040986,-0.040657,0.087608,-0.006249,-0.223425,-0.622264,0.218431,-0.218515,-0.028213,-0.220281,0.059449,0.208492,-0.092683,-0.074608,-0.046496,0.064621,-0.229444,-0.269955,-0.080152,0.214141,-0.109435,0.023265,-0.117143,-0.022053,0.016662,-0.087769,0.054008,-0.19277,0.019217,-0.139245,-0.159017,-0.499432,-0.215971,0.049409,-0.351894,-0.096516,-0.830711,-0.390103,-0.441636,-0.348956,0.370009,-0.145652,-0.174289,-0.015919,-0.226214,-0.178015,-0.311624,-0.331847,0.063944,-0.17357,-0.140269,-0.37189,-0.180613,-0.247949,0.063603,-0.0949,'0'
2.811773,'>2cm','1-3','Negative','Poorly diff',49,0.415169,0.014423,0.040736,0.099515,-0.190888,0.066366,0.025841,-0.050198,0.041931,0.042804,0.123874,-0.00672,0.139092,-0.08617,-0.861841,0.238798,-0.061464,0.369004,0.296906,-0.183602,-0.197793,-0.068943,0.038136,0.131657,0.218863,0.137459,0.105306,-0.035077,0.282085,0.425231,0.214574,0.500212,-0.63329,-0.03811,0.088699,-0.236266,-0.179366,-0.055723,-0.147439,0.198778,0.057691,0.198231,0.141942,0.036756,-0.001761,0.166022,0.013911,-0.180189,0.125053,0.053388,-0.170299,0.265521,-0.234091,0.319663,0.471367,-0.065145,0.181245,-0.074623,-0.192055,0.17775,0.250725,0.05435,0.134613,0.363722,0.093599,0.193812,-0.17356,0.426071,-0.088053,-0.091628,'1'
4.44627,'<=2cm','1-3','Positive','Intermediate',44,-0.676226,-0.405031,0.133143,0.252445,-0.217223,-0.066411,-0.28833,0.124215,0.215019,-0.079788,0.18553,0.116944,-0.307415,-0.057929,-0.443214,-0.256515,-0.096523,0.145545,0.06053,-0.722097,0.272168,-0.294299,0.067659,-0.108398,0.091448,-0.130237,-0.120476,-0.13085,-0.044914,-0.064529,-0.308178,-0.292941,-0.658695,-0.04062,-0.045296,0.050338,-0.227888,-0.174082,-0.077901,-0.002563,-0.020133,0.256124,0.147476,0.061905,0.121643,-0.489924,-0.220698,0.040787,-0.020451,0.00465,-0.484385,-0.55064,0.012629,0.03909,0.154752,-0.019758,-0.42592,-0.199058,-0.026656,-0.299688,-0.200291,-0.11439,-0.020762,0.173693,-0.137665,-0.091951,0.208994,-0.150493,-0.263346,-0.302454,'1'
16.147844,'>2cm','>=4','Positive','Well diff',32,-0.45981,0.04873,-0.07229,-0.122232,-0.053178,0.303555,-0.199027,0.12984,-0.066652,0.055387,0.150507,-0.049056,0.013451,-0.229289,0.304672,0.048169,-0.011928,-0.020287,-0.049805,-0.568912,0.067074,-0.046504,-0.053497,-0.071011,0.066254,0.047836,-0.009342,-0.064461,-0.02665,0.040556,-0.203091,-0.052759,0.372347,0.218112,-0.13839,0.171839,-0.036238,0.009825,0.311649,-0.108389,0.064188,-0.128602,0.144215,-0.207793,-0.082715,0.117756,0.101548,0.153974,-0.351619,-0.047294,-0.448834,-0.121442,0.192704,-0.001709,0.066414,-0.18532,-0.360395,0.106448,-0.051931,-0.295601,-0.358887,0.023492,-0.062972,-0.060561,-0.173701,-0.400543,-0.115486,0.025958,0.041864,-0.334844,'0'
8.128679,'>2cm','>=4','Positive','Well diff',46,-0.524049,-0.133102,-0.112078,-0.196093,-0.078295,0.145811,-0.11277,-0.052007,-0.125277,0.005386,-0.134937,-0.085898,0.014776,-0.191852,0.744841,-0.057111,-0.010332,-0.07834,-0.146357,-0.669427,0.121167,-0.131588,-0.082825,-0.216475,0.103575,0.057549,-0.110971,-0.109392,-0.000949,-0.11761,-0.221256,-0.302318,0.633848,0.154751,-0.150317,0.209441,-0.193254,-0.031491,0.23296,-0.172688,-0.043797,-0.122699,0.058723,0.010592,-0.200907,-0.240913,-0.091861,0.187448,-0.36925,-0.141247,-0.612403,-0.507791,-0.042935,-0.122937,0.159012,-0.198601,-0.317544,-0.138642,-0.034103,-0.200489,0.127607,0.008451,0.093416,-0.178267,-0.136169,-0.413765,-0.154928,-0.296843,-0.528347,-0.450567,'1'
15.312799,'>2cm','1-3','Positive','Poorly diff',50,-0.075744,-0.255396,0.161712,0.147215,-0.100304,-0.213726,0.345901,-0.303482,0.294388,0.025815,-0.248094,0.207232,-0.237957,0.072472,-0.12438,0.0541,-0.193263,-0.106914,-0.374173,-0.149912,-0.296178,-0.052322,0.161867,0.594077,0.298861,0.007897,0.008764,0.045521,-0.072304,-0.369092,0.006018,0.120104,0.372094,-0.019253,0.126792,-0.016228,0.512843,0.164472,-0.109739,0.204715,0.02041,0.064162,0.110831,0.386172,-0.019828,0.21481,0.069616,0.000842,0.082738,-0.061581,0.389366,0.013957,-0.145875,0.185798,-0.116773,0.038415,-0.144862,-0.014269,0.076985,-0.056364,0.342374,0.003792,0.081081,0.168304,0.403049,0.309362,-0.360359,0.195884,-0.115868,-0.139892,'0'
15.819302,'<=2cm','>=4','Positive','Poorly diff',38,0.47525,-0.314058,0.036933,0.043207,0.037861,0.126107,0.104764,-0.236499,-0.0463,-0.11199,-0.149849,0.024396,-0.181143,0.050653,-0.289101,-0.055114,-0.186014,-0.211783,-0.336392,-0.582714,-0.043413,0.16984,-0.157922,0.180762,-0.006286,-0.135679,-0.166793,0.022677,0.000707,-0.035443,-0.186463,0.49461,-0.9177,-0.044042,-0.048589,0.045358,0.103071,0.170259,-0.239673,0.115924,-0.115802,0.051205,-0.049097,0.112228,-0.008674,-0.066558,-0.072571,0.088576,0.327347,-0.017645,-0.487903,0.397006,-0.061167,0.055922,0.02712,0.046668,0.155842,0.070533,0.492229,0.149008,0.105245,-0.353411,0.150272,0.293234,0.004191,0.246431,-0.111327,-0.104902,-0.593986,-0.053546,'0'
1.612594,'>2cm','1-3','Positive','Poorly diff',43,0.335453,-0.031369,0.176738,0.164675,-0.372342,0.33994,0.112415,-0.505683,0.213332,-0.24804,-0.081739,0.156273,-0.087906,0.143537,-0.006386,-0.005315,0.1267,-0.021497,-0.12186,-0.313633,-0.018246,-0.328322,0.450633,0.093038,-0.180099,-0.278238,0.079083,-0.070089,-0.09293,-0.341687,0.051868,0.483645,-0.817723,-0.128389,-0.192576,-0.257567,0.19603,0.390387,-0.208745,0.009643,0.105143,0.114123,-0.082175,0.270003,0.110655,-0.718582,-0.178021,-0.226163,0.273136,-0.084604,-0.736697,0.01554,-0.597094,-0.129282,-0.091437,-0.095877,-0.410401,-0.344929,-0.106719,-0.304306,-0.662307,-0.250937,-0.039992,0.057691,0.073829,0.308874,-0.22684,0.185946,0.104228,0.214238,'1'
14.885695,'>2cm','1-3','Positive','Intermediate',40,-0.944756,0.242413,0.229843,0.305664,-0.450261,-0.032673,-0.306706,-0.768181,0.275818,-0.039156,0.273762,0.268588,-0.220922,-0.025248,-0.486784,-0.355188,-0.16966,-0.459443,-0.103919,-0.707556,-0.108982,-0.431094,0.37846,0.254735,0.14043,-0.295696,0.439253,-0.004628,0.104288,-0.395412,-0.064129,-0.330641,-0.441625,0.02716,0.266069,0.238886,0.034289,-0.300721,-0.59651,0.079378,-0.262711,0.408672,0.008061,0.149222,-0.077497,0.159688,-0.365705,0.252904,-0.096044,0.197409,0.205926,-0.426187,-0.239866,0.22182,-0.00909,-0.177333,-0.616348,-0.052292,0.159523,-0.535081,0.433096,-0.658954,-0.348068,0.181412,-0.086554,0.023318,0.236897,0.06428,0.025582,-0.298742,'0'
13.34976,'>2cm','1-3','Positive','Well diff',42,-0.411817,-0.247724,-0.343038,-0.285331,-0.038894,-0.172829,-0.280732,0.053029,-0.192713,-0.026856,-0.014508,-0.105436,-0.120592,-0.132073,0.441655,-0.101532,0.287745,-0.015679,0.027858,-0.326123,0.026173,-0.01309,-0.151262,-0.30381,-0.064566,-0.110996,-0.118797,-0.026628,-0.143368,-0.012825,-0.045272,-0.44426,0.423281,-0.102679,-0.178611,0.14769,-0.147802,-0.150179,0.1733,-0.101195,-0.056451,-0.278728,-0.021954,0.05662,-0.157224,-0.139075,0.238663,0.126915,-0.419603,-0.225449,-0.493596,-0.429882,-0.061628,-0.220617,-0.072958,-0.11285,-0.035129,-0.206945,-0.177331,0.025441,-0.27443,0.108717,-0.042577,-0.370077,-0.21081,-0.411224,0.002571,-0.301126,-0.116777,-0.269695,'0'
